LLM,Complexity,MRR@1,MRR@3,MRR@10
gpt-3.5-turbo,easy,0.0,0.5,0.5
gpt-3.5-turbo,medium,0.4,0.4,0.49857142857142855
gpt-3.5-turbo,hard,0.5,0.5555555555555555,0.6001984126984127
gpt-3.5-turbo,all,0.4166666666666667,0.4861111111111111,0.5495039682539683
gpt-4o-mini,easy,1.0,1.0,1.0
gpt-4o-mini,medium,0.4,0.5666666666666667,0.5999999999999999
gpt-4o-mini,hard,0.3333333333333333,0.5555555555555555,0.5763888888888888
gpt-4o-mini,all,0.4166666666666667,0.5972222222222222,0.6215277777777778
gpt-4o,easy,1.0,1.0,1.0
gpt-4o,medium,0.4,0.5,0.5833333333333333
gpt-4o,hard,0.3333333333333333,0.47222222222222215,0.5293650793650794
gpt-4o,all,0.4166666666666667,0.5277777777777778,0.5910714285714286
llama3.1,easy,0.0,0.0,0.14285714285714285
llama3.1,medium,0.4,0.5666666666666667,0.6166666666666667
llama3.1,hard,0.3333333333333333,0.47222222222222227,0.5555555555555556
llama3.1,all,0.3333333333333333,0.47222222222222215,0.5466269841269841
llama3.1:70b,easy,0.0,0.0,0.25
llama3.1:70b,medium,0.4,0.5,0.5507936507936508
llama3.1:70b,hard,0.3333333333333333,0.47222222222222227,0.5222222222222223
llama3.1:70b,all,0.3333333333333333,0.4444444444444444,0.5114417989417989
